product_code,product-type
Prod229,OwnBrand
Prod230,OwnBrand
Prod231,OwnBrand
Prod232,OwnBrand
Prod233,Distrubition
Prod234,Distrubition
Prod235,Distrubition
Prod236,Distrubition
Prod237,Distrubition
Prod238,OwnBrand
Prod239,OwnBrand
Prod240,OwnBrand
Prod241,OwnBrand
Prod242,OwnBrand
Prod243,OwnBrand
Prod244,OwnBrand
Prod245,OwnBrand
Prod246,OwnBrand
Prod247,OwnBrand
Prod248,Distrubition
Prod249,Distrubition
Prod250,Distrubition
Prod251,Distrubition
Prod252,Distrubition
Prod253,OwnBrand
Prod254,OwnBrand
Prod255,OwnBrand
Prod256,OwnBrand
Prod257,OwnBrand
Prod258,OwnBrand
Prod259,OwnBrand
Prod260,OwnBrand
Prod261,OwnBrand
Prod262,OwnBrand
Prod263,Distrubition
Prod264,Distrubition
Prod265,Distrubition
Prod266,Distrubition
Prod267,Distrubition
Prod268,OwnBrand
Prod269,OwnBrand
Prod270,OwnBrand
Prod271,OwnBrand
Prod272,OwnBrand
Prod273,OwnBrand
Prod274,OwnBrand
Prod275,OwnBrand
Prod276,OwnBrand
Prod277,OwnBrand
Prod278,Distrubition
Prod279,Distrubition


